M.,LEIPP,Raymond,délégué titulaire de,ACHENHEIM
Mme,KLEISER,Monique,délégué titulaire de,ACHENHEIM
M.,SCHAFFNER,Roland,délégué titulaire de,ACHENHEIM
Mme,WOLFER-FREPPEL,Simone,délégué titulaire de,ACHENHEIM
M.,GUILLON,Julien,délégué titulaire de,ACHENHEIM
Mme,DROEHNLE-BREIT,Corinne,suppléant,ACHENHEIM
M.,EHRET,Alain,suppléant,ACHENHEIM
Mme,BARADEL,Maryvonne,suppléant,ACHENHEIM
M.,MORITZ,Armand,délégué titulaire de,ADAMSWILLER
M.,SAEMANN,Alain,suppléant,ADAMSWILLER
M.,KLEIN,Christian,suppléant,ADAMSWILLER
M.,DUMAZERT,Roger,suppléant,ADAMSWILLER
M.,HERRMANN,Dominique,délégué titulaire de,ALBE
M.,KARDOUH,Abdessamad,suppléant,ALBE
M.,MARTIN,Francis,suppléant,ALBE
M.,LEDERMANN,David,suppléant,ALBE
M.,MULLER,Roger,délégué titulaire de,ALLENWILLER
M.,STORCK,Gerard,délégué titulaire de,ALLENWILLER
M.,KOESSLER,Francois,délégué titulaire de,ALLENWILLER
M.,LORENTZ,Bruno,suppléant,ALLENWILLER
Mme,HEINRICH,Cecile,suppléant,ALLENWILLER
Mme,BERLEMONT,Nathalie,suppléant,ALLENWILLER
M.,HIPP,Alain,délégué titulaire de,ALTECKENDORF
Mme,FORLER,Caroline,délégué titulaire de,ALTECKENDORF
Mme,JACQUEL VOLKMAR,Claire,délégué titulaire de,ALTECKENDORF
M.,HOLLNER,Jean Pierre,suppléant,ALTECKENDORF
M.,ROOS,Armand,suppléant,ALTECKENDORF
M.,GIRARDIN,Pierre,suppléant,ALTECKENDORF
M.,VOLLMAR,Mickaël,délégué titulaire de,ALTENHEIM
Mme,WICKER,Murielle,suppléant,ALTENHEIM
M.,HEITZ,Jean-Claude,suppléant,ALTENHEIM
M.,KNOBLOCH,Daniel,suppléant,ALTENHEIM
M.,ADOLPH,Gérard,délégué titulaire de,ALTORF
Mme,ARNOLD,Monique,délégué titulaire de,ALTORF
M.,BAAS,René,délégué titulaire de,ALTORF
Mme,LACOUTURE,Agathe,suppléant,ALTORF
M.,EYDER,Cyriaque,suppléant,ALTORF
Mme,BATTESTINI,Cathy,suppléant,ALTORF
M.,SCHREINER,Aimé,délégué titulaire de,ALTWILLER
Mme,LIEB,Véronique,suppléant,ALTWILLER
M.,BAUER,Sébastien,suppléant,ALTWILLER
Mme,KRAEMER,Adeline,suppléant,ALTWILLER
M.,BONNET,Fabien,délégué titulaire de,ANDLAU
Mme,WACH,Caroline,délégué titulaire de,ANDLAU
M.,FRANTZ,Thierry,délégué titulaire de,ANDLAU
Mme,WINE,Sabine,délégué titulaire de,ANDLAU
M.,EFFINGER,Raymond,délégué titulaire de,ANDLAU
Mme,WODLING,Corine,suppléant,ANDLAU
M.,JUND,Etienne,suppléant,ANDLAU
Mme,BIANCHI,Raymonde,suppléant,ANDLAU
M.,SCHULTZ,Bernard,délégué titulaire de,ARTOLSHEIM
M.,SPIEGEL,Patrick,délégué titulaire de,ARTOLSHEIM
Mme,BLOCK,Marthe,délégué titulaire de,ARTOLSHEIM
M.,GIDEMANN,Jean,suppléant,ARTOLSHEIM
M.,BIZOT,Hélène,suppléant,ARTOLSHEIM
Mme,SCHWOERER,Yves,suppléant,ARTOLSHEIM
M.,BRENCKLE,Gilbert,délégué titulaire de,ASCHBACH
Mme,FECHTER,Astrid,délégué titulaire de,ASCHBACH
M.,HEINTZ,Paul,délégué titulaire de,ASCHBACH
Mme,TIMMEL,Catherine,suppléant,ASCHBACH
M.,SEILLER,David,suppléant,ASCHBACH
Mlle,STRASSER,Camille,suppléant,ASCHBACH
M.,STAMMLER,Norbert,délégué titulaire de,ASSWILLER
M.,LEHMANN,Philippe,suppléant,ASSWILLER
M.,GULDEN,Serge,suppléant,ASSWILLER
M.,WEHRUNG,Henri,suppléant,ASSWILLER
M.,LUDWIG,Joseph,délégué titulaire de,AUENHEIM
M.,HAUSWIRTH,François,délégué titulaire de,AUENHEIM
Mme,SCHOTT,Nathalie,délégué titulaire de,AUENHEIM
M.,WIEGAND,Michel,suppléant,AUENHEIM
M.,HELDT,Philippe,suppléant,AUENHEIM
M.,STURM,Claude,suppléant,AUENHEIM
Mme,HAUSS,Françoise,délégué titulaire de,AVOLSHEIM
M.,DEMAGGIO,Erik,délégué titulaire de,AVOLSHEIM
Mme,PODDA,Sandrine,délégué titulaire de,AVOLSHEIM
M.,GEHIN,Pascal,suppléant,AVOLSHEIM
M.,METZ,Daniel,suppléant,AVOLSHEIM
M.,STROH,Etienne,suppléant,AVOLSHEIM
M.,KLEIN,André,délégué titulaire de,BAERENDORF
M.,MASSERAN,Jean-Marc,suppléant,BAERENDORF
M.,FIEGEL,André,suppléant,BAERENDORF
Mlle,FIEGEL,Bénédicte,suppléant,BAERENDORF
M.,REUTENAUER,Daniel,délégué titulaire de,BALBRONN
M.,HEIM,Charles,délégué titulaire de,BALBRONN
Mme,DIEMUNSCH,Corinne,délégué titulaire de,BALBRONN
M.,FARNER,Erwin,suppléant,BALBRONN
M.,STENTZEL,Cédric,suppléant,BALBRONN
M.,BODEMER,Marc-Antoine,suppléant,BALBRONN
M.,SCHWANDER,Willy,délégué titulaire de,BALDENHEIM
Mme,MUHR,Virginie,délégué titulaire de,BALDENHEIM
M.,BURY,Jean-Luc,délégué titulaire de,BALDENHEIM
Mme,GISSELBRECHT,Denise,suppléant,BALDENHEIM
M.,HIRN,Gino,suppléant,BALDENHEIM
Mme,ELSAESSER,Françoise,suppléant,BALDENHEIM
M.,DOUVIER,Gérard,délégué titulaire de,BAREMBACH
M.,CASNER,J. Claude,délégué titulaire de,BAREMBACH
Mme,MONI,Sandrine,délégué titulaire de,BAREMBACH
M.,COSSARDEAUX,Jean-Claude,suppléant,BAREMBACH
Mme,PACLET,Virginie,suppléant,BAREMBACH
M.,MEYER,André,suppléant,BAREMBACH
M.,LEININGER,Gilbert,délégué titulaire de,BARR
Mme,HEINTZ,Claire,délégué titulaire de,BARR
M.,WOLFF,Daniel,délégué titulaire de,BARR
Mme,GUNTHER,Nicole,délégué titulaire de,BARR
M.,HOTTIER,Jean-Michel,délégué titulaire de,BARR
Mme,WIES,Mariele,délégué titulaire de,BARR
M.,JAMBU,Thierry,délégué titulaire de,BARR
Mme,VALENTIN,Audrey,délégué titulaire de,BARR
M.,SCHLAEFLI,Dominique,délégué titulaire de,BARR
Mme,ERNST,Nathalie,délégué titulaire de,BARR
M.,YAZMIS,Muhammet,délégué titulaire de,BARR
Mme,RATH,Adrienne,délégué titulaire de,BARR
Mme,FRIEDERICH,Valerie,délégué titulaire de,BARR
M.,SCHWENGLER,Bernard,délégué titulaire de,BARR
M.,GAUTIER,Eric,délégué titulaire de,BARR
M.,RENCKERT,Gilles,suppléant,BARR
Mme,BOEHM,Monique,suppléant,BARR
M.,WEISSE,Hervé,suppléant,BARR
Mme,LORENTZ,Veronique,suppléant,BARR
Mme,MARLIER MULLER,Cathy,suppléant,BARR
M.,ESCRICH,Emmanuel,délégué titulaire de,BASSEMBERG
Mme,SCHIEBER HERRBACH,Jacqueline,suppléant,BASSEMBERG
M.,FELTEN,Marc,suppléant,BASSEMBERG
M.,FRANTZ,Ivan,suppléant,BASSEMBERG
M.,BUR,Joseph,délégué titulaire de,BATZENDORF
Mme,DOLLINGER,Isabelle,délégué titulaire de,BATZENDORF
M.,KAPFER,Jean-Luc,délégué titulaire de,BATZENDORF
M.,RODRIGUES,José,suppléant,BATZENDORF
Mme,ANTONI,Nathalie,suppléant,BATZENDORF
Mme,PFEIL,Marie-Laure,suppléant,BATZENDORF
